question_id,p_at_1,p_at_5,rr,ap
2285,1.000,0.600,1.000,1.000
1932,1.000,0.400,1.000,0.833
2092,0.000,0.600,0.000,0.525
2213,0.000,0.000,0.000,0.000
2115,0.000,0.000,0.000,0.167
2090,1.000,0.800,1.000,0.860
2062,0.000,0.000,0.000,0.143
2354,1.000,0.200,1.000,0.452
2283,0.000,0.200,0.000,0.200
2249,1.000,0.800,1.000,0.825
2331,0.000,0.000,0.000,0.112
2387,0.000,0.600,0.000,0.533
2260,0.000,0.000,0.000,0.183
2257,1.000,0.800,1.000,0.895
1922,0.000,0.000,0.000,0.000
1910,0.000,0.800,0.000,0.703
2055,0.000,0.000,0.000,0.000
2333,0.000,0.000,0.000,0.000
2197,1.000,0.600,1.000,0.794
2350,0.000,0.400,0.000,0.427
2120,0.000,0.000,0.000,0.167
2088,0.000,0.600,0.000,0.484
2054,0.000,0.600,0.000,0.551
1960,0.000,0.000,0.000,0.000
2126,0.000,0.000,0.000,0.000
1924,0.000,0.000,0.000,0.000
2336,0.000,0.200,0.000,0.321
2013,1.000,0.600,1.000,0.876
2312,0.000,0.200,0.000,0.417
2004,1.000,1.000,1.000,1.000
2378,1.000,0.400,1.000,0.732
2380,0.000,0.200,0.000,0.350
2036,0.000,0.200,0.000,0.200
2228,0.000,0.200,0.000,0.389
2087,0.000,0.400,0.000,0.560
1996,1.000,0.800,1.000,0.824
2254,0.000,0.200,0.000,0.333
1977,0.000,0.000,0.000,0.000
2121,0.000,0.200,0.000,0.250
2212,0.000,0.000,0.000,0.000
1950,0.000,0.200,0.000,0.339
1994,0.000,0.200,0.000,0.500
2053,1.000,0.400,1.000,1.000
2295,1.000,0.400,1.000,0.833
2297,0.000,0.000,0.000,0.125
2223,0.000,0.000,0.000,0.000
1939,0.000,0.400,0.000,0.360
2343,0.000,0.000,0.000,0.000
1984,1.000,0.600,1.000,0.794
1997,0.000,0.200,0.000,0.268
2302,0.000,0.400,0.000,0.360
1959,0.000,0.200,0.000,0.500
1995,0.000,0.000,0.000,0.111
2233,0.000,0.200,0.000,0.393
1897,0.000,0.000,0.000,0.167
2064,0.000,0.200,0.000,0.360
2241,0.000,0.400,0.000,0.444
2091,1.000,0.800,1.000,0.841
2186,0.000,0.000,0.000,0.111
1953,0.000,0.000,0.000,0.230
2226,1.000,0.400,1.000,0.638
2104,0.000,0.000,0.000,0.167
2026,0.000,0.000,0.000,0.111
2032,0.000,0.400,0.000,0.279
2178,0.000,0.200,0.000,0.200
2145,1.000,0.400,1.000,0.833
2069,1.000,0.400,1.000,0.767
2071,1.000,0.600,1.000,0.756
2298,0.000,0.000,0.000,0.000
2194,0.000,0.000,0.000,0.000
2289,1.000,1.000,1.000,1.000
2170,0.000,0.000,0.000,0.000
2301,0.000,0.800,0.000,0.692
2309,0.000,0.000,0.000,0.143
2171,0.000,0.000,0.000,0.139
2003,0.000,0.200,0.000,0.268
2143,0.000,0.200,0.000,0.306
2103,1.000,0.200,1.000,0.611
2388,0.000,0.200,0.000,0.267
2161,0.000,0.000,0.000,0.000
2085,0.000,0.000,0.000,0.000
2109,0.000,0.000,0.000,0.143
2061,1.000,0.400,1.000,0.778
1981,0.000,0.400,0.000,0.415
2066,1.000,0.600,1.000,0.693
2266,0.000,0.600,0.000,0.478
1952,0.000,0.000,0.000,0.000
2151,0.000,0.400,0.000,0.385
2351,0.000,0.400,0.000,0.500
1912,0.000,0.400,0.000,0.597
2009,0.000,0.000,0.000,0.111
1965,0.000,0.000,0.000,0.000
2065,0.000,0.400,0.000,0.493
2164,0.000,0.000,0.000,0.000
1980,0.000,0.800,0.000,0.748
2077,0.000,0.000,0.000,0.083
2028,0.000,0.400,0.000,0.583
2344,0.000,0.000,0.000,0.167
2142,0.000,0.000,0.000,0.000
2070,0.000,0.000,0.000,0.111
2072,1.000,1.000,1.000,1.000
1961,1.000,0.400,1.000,0.667
2340,1.000,0.800,1.000,0.927
2236,0.000,0.000,0.000,0.230
2214,0.000,0.000,0.000,0.000
2220,0.000,0.000,0.000,0.000
2368,0.000,0.000,0.000,0.000
2272,0.000,0.200,0.000,0.417
2078,0.000,0.000,0.000,0.000
2057,0.000,0.200,0.000,0.399
1949,0.000,0.200,0.000,0.365
2017,1.000,0.800,1.000,1.000
2123,0.000,0.200,0.000,0.250
2305,0.000,0.000,0.000,0.083
2386,0.000,0.400,0.000,0.583
2211,0.000,0.000,0.000,0.100
1935,0.000,0.200,0.000,0.268
2317,0.000,0.000,0.000,0.100
2038,0.000,0.200,0.000,0.306
1983,1.000,0.600,1.000,0.875
1948,0.000,0.000,0.000,0.000
2052,1.000,0.400,1.000,0.716
2127,0.000,0.400,0.000,0.493
1899,1.000,1.000,1.000,1.000
1978,0.000,0.000,0.000,0.000
2218,0.000,0.000,0.000,0.195
2230,1.000,1.000,1.000,1.000
2022,1.000,0.800,1.000,0.900
2326,0.000,0.000,0.000,0.178
1895,0.000,0.200,0.000,0.200
2262,0.000,0.000,0.000,0.000
2099,0.000,0.400,0.000,0.367
2360,0.000,0.000,0.000,0.091
1898,0.000,0.400,0.000,0.524
2049,0.000,0.000,0.000,0.000
2277,1.000,0.600,1.000,0.758
1942,0.000,0.600,0.000,0.525
2153,1.000,0.600,1.000,0.806
2202,0.000,0.000,0.000,0.000
2021,0.000,0.600,0.000,0.557
2098,0.000,0.200,0.000,0.200
2330,1.000,0.800,1.000,0.877
2248,0.000,0.000,0.000,0.256
2293,1.000,0.600,1.000,0.876
2083,0.000,0.000,0.000,0.129
2239,0.000,0.400,0.000,0.465
1916,0.000,0.400,0.000,0.505
2165,1.000,0.400,1.000,0.736
1919,0.000,0.000,0.000,0.000
2136,1.000,0.800,1.000,0.853
2377,0.000,0.200,0.000,0.216
2030,0.000,0.200,0.000,0.310
1974,1.000,1.000,1.000,1.000
2278,1.000,0.800,1.000,0.804
2157,0.000,0.000,0.000,0.000
1927,1.000,0.200,1.000,0.483
2367,0.000,0.400,0.000,0.444
2335,1.000,0.400,1.000,0.667
2135,0.000,0.000,0.000,0.000
2116,0.000,0.000,0.000,0.000
2271,1.000,0.200,1.000,0.587
2035,1.000,0.600,1.000,0.876
2371,1.000,1.000,1.000,1.000
2217,0.000,0.000,0.000,0.183
2255,0.000,0.000,0.000,0.000
2323,0.000,0.000,0.000,0.000
2007,1.000,0.800,1.000,0.909
1993,1.000,1.000,1.000,1.000
2040,0.000,0.000,0.000,0.143
2311,0.000,0.000,0.000,0.000
1930,0.000,0.800,0.000,0.667
2235,0.000,0.200,0.000,0.327
1947,1.000,1.000,1.000,0.944
2313,0.000,0.200,0.000,0.200
2307,1.000,0.400,1.000,0.590
2364,0.000,0.200,0.000,0.258
2184,1.000,1.000,1.000,0.910
2379,0.000,0.000,0.000,0.091
2264,0.000,0.200,0.000,0.269
2337,0.000,0.200,0.000,0.243
1976,1.000,0.600,1.000,1.000
2342,0.000,0.200,0.000,0.333
1954,0.000,0.000,0.000,0.167
2089,0.000,0.600,0.000,0.609
1934,0.000,0.200,0.000,0.333
2237,0.000,0.400,0.000,0.497
2246,1.000,0.600,1.000,0.917
1969,0.000,0.200,0.000,0.400
2328,0.000,0.000,0.000,0.156
2325,0.000,0.000,0.000,0.000
2370,0.000,0.000,0.000,0.167
1991,0.000,0.000,0.000,0.000
2286,0.000,0.000,0.000,0.143
2011,1.000,0.200,1.000,0.667
2117,0.000,0.000,0.000,0.127
2110,0.000,0.000,0.000,0.111
2259,0.000,0.000,0.000,0.000
1903,1.000,0.400,1.000,0.732
1999,0.000,0.000,0.000,0.000
2093,0.000,0.000,0.000,0.091
1945,1.000,1.000,1.000,1.000
1958,1.000,1.000,1.000,1.000
1920,1.000,0.600,1.000,1.000
2080,0.000,0.000,0.000,0.199
2039,0.000,0.200,0.000,0.500
2251,1.000,0.400,1.000,0.833
2139,1.000,0.600,1.000,0.867
2159,0.000,0.000,0.000,0.000
2282,1.000,0.800,1.000,0.902
2216,0.000,0.200,0.000,0.200
2101,0.000,0.000,0.000,0.111
2292,0.000,0.000,0.000,0.000
2068,0.000,0.000,0.000,0.000
1926,0.000,0.200,0.000,0.333
2029,1.000,0.600,1.000,0.844
2048,1.000,0.800,1.000,0.877
1992,0.000,0.000,0.000,0.143
1941,0.000,0.400,0.000,0.367
2341,0.000,0.200,0.000,0.333
2122,0.000,0.200,0.000,0.333
2284,0.000,0.200,0.000,0.250
2037,0.000,0.000,0.000,0.000
2320,0.000,0.000,0.000,0.100
2287,0.000,0.400,0.000,0.583
2124,0.000,0.000,0.000,0.000
2359,1.000,1.000,1.000,0.929
2047,0.000,0.200,0.000,0.250
2303,1.000,0.600,1.000,0.893
1979,0.000,0.000,0.000,0.000
2045,0.000,0.600,0.000,0.533
2334,1.000,1.000,1.000,1.000
2016,0.000,0.600,0.000,0.525
2362,0.000,0.200,0.000,0.382
1931,0.000,0.200,0.000,0.500
2392,0.000,0.800,0.000,0.663
2263,1.000,0.600,1.000,1.000
2018,1.000,1.000,1.000,1.000
1900,1.000,1.000,1.000,0.950
2338,1.000,0.200,1.000,1.000
2179,0.000,0.000,0.000,0.199
2079,0.000,0.000,0.000,0.000
2144,0.000,0.000,0.000,0.000
1937,0.000,0.000,0.000,0.000
1971,1.000,0.400,1.000,0.556
1906,0.000,0.200,0.000,0.200
2196,1.000,0.600,1.000,0.858
2353,1.000,0.600,1.000,1.000
2290,0.000,0.200,0.000,0.250
2306,0.000,0.000,0.000,0.132
2156,0.000,0.400,0.000,0.344
1918,0.000,0.000,0.000,0.143
2175,1.000,1.000,1.000,1.000
2140,0.000,0.600,0.000,0.469
1956,0.000,0.800,0.000,0.679
2281,0.000,0.200,0.000,0.393
2063,0.000,0.000,0.000,0.000
1925,0.000,0.000,0.000,0.226
2190,1.000,0.600,1.000,0.690
2192,0.000,0.200,0.000,0.371
2086,0.000,0.000,0.000,0.000
2294,0.000,0.400,0.000,0.437
2182,0.000,0.400,0.000,0.538
2244,1.000,0.200,1.000,1.000
2056,0.000,0.400,0.000,0.500
2129,0.000,0.600,0.000,0.668
2000,0.000,0.200,0.000,0.413
2012,0.000,0.000,0.000,0.125
2154,0.000,0.000,0.000,0.143
2010,1.000,0.800,1.000,0.924
2118,0.000,0.000,0.000,0.000
2188,0.000,0.400,0.000,0.433
1951,0.000,0.000,0.000,0.000
2100,0.000,0.200,0.000,0.333
2160,1.000,1.000,1.000,1.000
1904,1.000,0.200,1.000,0.667
2198,0.000,0.400,0.000,0.526
2240,1.000,1.000,1.000,1.000
1938,0.000,0.000,0.000,0.163
2376,0.000,0.000,0.000,0.167
1911,1.000,0.400,1.000,0.833
2044,1.000,1.000,1.000,1.000
2319,0.000,0.600,0.000,0.646
2050,0.000,0.600,0.000,0.639
2107,0.000,0.400,0.000,0.342
2206,0.000,0.000,0.000,0.000
2225,0.000,0.400,0.000,0.543
2015,0.000,0.200,0.000,0.243
1914,1.000,0.800,1.000,0.897
2169,1.000,0.600,1.000,0.653
2316,1.000,0.400,1.000,0.647
2067,0.000,0.000,0.000,0.000
2031,0.000,0.000,0.000,0.000
2128,0.000,0.200,0.000,0.267
2279,0.000,0.000,0.000,0.000
2238,0.000,0.000,0.000,0.000
1943,0.000,0.400,0.000,0.444
1986,0.000,0.200,0.000,0.296
2275,0.000,0.000,0.000,0.000
2043,0.000,0.000,0.000,0.000
2105,0.000,0.800,0.000,0.760
2242,1.000,0.800,1.000,0.859
2270,1.000,0.600,1.000,0.917
2187,0.000,0.000,0.000,0.143
2361,0.000,0.000,0.000,0.000
2131,1.000,0.600,1.000,0.669
1936,1.000,0.400,1.000,0.833
2162,0.000,0.000,0.000,0.000
2005,0.000,0.600,0.000,0.487
2245,0.000,0.000,0.000,0.000
2375,0.000,0.200,0.000,0.361
1982,0.000,0.000,0.000,0.111
2081,0.000,0.000,0.000,0.000
2215,1.000,0.400,1.000,0.633
1909,0.000,0.200,0.000,0.304
1967,1.000,0.600,1.000,0.811
2382,0.000,0.000,0.000,0.100
2199,0.000,0.000,0.000,0.000
2133,0.000,0.800,0.000,0.741
2075,0.000,0.000,0.000,0.183
1975,0.000,0.000,0.000,0.125
2191,1.000,0.800,1.000,0.851
2033,0.000,0.400,0.000,0.395
1928,1.000,0.400,1.000,0.810
2231,1.000,1.000,1.000,1.000
2357,1.000,0.600,1.000,0.729
2111,0.000,0.000,0.000,0.167
2185,0.000,0.000,0.000,0.000
1973,0.000,0.000,0.000,0.111
2310,1.000,0.400,1.000,0.633
1929,0.000,0.200,0.000,0.333
1908,0.000,0.200,0.000,0.374
2355,1.000,0.600,1.000,0.747
2200,0.000,0.000,0.000,0.000
1962,0.000,0.200,0.000,0.202
1970,0.000,0.200,0.000,0.348
2141,0.000,0.200,0.000,0.306
1921,1.000,0.200,1.000,1.000
1985,0.000,0.600,0.000,0.608
2318,0.000,0.000,0.000,0.077
2094,0.000,0.000,0.000,0.083
2339,1.000,0.200,1.000,0.611
2149,1.000,1.000,1.000,0.962
2315,1.000,1.000,1.000,1.000
2300,1.000,0.600,1.000,0.728
2280,1.000,1.000,1.000,0.933
2134,0.000,0.200,0.000,0.500
2365,0.000,0.000,0.000,0.000
2299,0.000,0.600,0.000,0.612
2227,1.000,0.800,1.000,0.856
2276,0.000,0.000,0.000,0.000
2051,0.000,0.000,0.000,0.000
2019,0.000,0.000,0.000,0.100
2268,1.000,0.200,1.000,0.565
2209,0.000,0.000,0.000,0.000
2181,0.000,0.200,0.000,0.250
1968,0.000,0.400,0.000,0.367
2166,0.000,0.000,0.000,0.000
2219,0.000,0.200,0.000,0.224
2084,0.000,0.000,0.000,0.143
2168,1.000,0.600,1.000,0.700
