question_id,p_at_1,p_at_5,rr,ap
1984,1.000,0.600,1.000,0.794
1976,1.000,0.600,1.000,1.000
2217,0.000,0.000,0.000,0.183
2320,0.000,0.000,0.000,0.100
2195,1.000,1.000,1.000,0.953
1925,0.000,0.000,0.000,0.226
1914,1.000,0.800,1.000,0.897
2030,0.000,0.200,0.000,0.310
1953,0.000,0.000,0.000,0.230
1900,1.000,1.000,1.000,0.950
2380,0.000,0.200,0.000,0.350
2306,0.000,0.000,0.000,0.132
2117,0.000,0.000,0.000,0.127
2038,0.000,0.200,0.000,0.306
2325,0.000,0.000,0.000,0.000
2031,0.000,0.000,0.000,0.000
2126,0.000,0.000,0.000,0.000
2383,1.000,0.200,1.000,1.000
2326,0.000,0.000,0.000,0.178
2005,0.000,0.600,0.000,0.487
2088,0.000,0.600,0.000,0.484
2173,0.000,0.400,0.000,0.325
1975,0.000,0.000,0.000,0.125
2260,0.000,0.000,0.000,0.183
1943,0.000,0.400,0.000,0.444
2297,0.000,0.000,0.000,0.125
1898,0.000,0.400,0.000,0.524
2271,1.000,0.200,1.000,0.587
1990,0.000,0.000,0.000,0.000
2057,0.000,0.200,0.000,0.399
2179,0.000,0.000,0.000,0.199
2118,0.000,0.000,0.000,0.000
2341,0.000,0.200,0.000,0.333
2307,1.000,0.400,1.000,0.590
1949,0.000,0.200,0.000,0.365
2344,0.000,0.000,0.000,0.167
2058,0.000,0.400,0.000,0.417
2282,1.000,0.800,1.000,0.902
2093,0.000,0.000,0.000,0.091
2263,1.000,0.600,1.000,1.000
2062,0.000,0.000,0.000,0.143
2078,0.000,0.000,0.000,0.000
2209,0.000,0.000,0.000,0.000
2296,1.000,0.600,1.000,0.668
2225,0.000,0.400,0.000,0.543
2065,0.000,0.400,0.000,0.493
2077,0.000,0.000,0.000,0.083
1948,0.000,0.000,0.000,0.000
2176,0.000,0.000,0.000,0.000
2182,0.000,0.400,0.000,0.538
1897,0.000,0.000,0.000,0.167
2149,1.000,1.000,1.000,0.962
2286,0.000,0.000,0.000,0.143
1928,1.000,0.400,1.000,0.810
1992,0.000,0.000,0.000,0.143
2370,0.000,0.000,0.000,0.167
1935,0.000,0.200,0.000,0.268
1894,0.000,0.200,0.000,0.329
2086,0.000,0.000,0.000,0.000
2139,1.000,0.600,1.000,0.867
2185,0.000,0.000,0.000,0.000
2051,0.000,0.000,0.000,0.000
2231,1.000,1.000,1.000,1.000
2371,1.000,1.000,1.000,1.000
2309,0.000,0.000,0.000,0.143
2216,0.000,0.200,0.000,0.200
2047,0.000,0.200,0.000,0.250
2107,0.000,0.400,0.000,0.342
2133,0.000,0.800,0.000,0.741
1970,0.000,0.200,0.000,0.348
2101,0.000,0.000,0.000,0.111
2084,0.000,0.000,0.000,0.143
2391,1.000,0.600,1.000,0.833
1946,1.000,0.200,1.000,0.485
2357,1.000,0.600,1.000,0.729
2311,0.000,0.000,0.000,0.000
2290,0.000,0.200,0.000,0.250
2141,0.000,0.200,0.000,0.306
1945,1.000,1.000,1.000,1.000
1921,1.000,0.200,1.000,1.000
2069,1.000,0.400,1.000,0.767
2255,0.000,0.000,0.000,0.000
2298,0.000,0.000,0.000,0.000
2265,0.000,0.200,0.000,0.500
2244,1.000,0.200,1.000,1.000
2015,0.000,0.200,0.000,0.243
2387,0.000,0.600,0.000,0.533
2001,1.000,0.400,1.000,0.633
2379,0.000,0.000,0.000,0.091
2235,0.000,0.200,0.000,0.327
2393,0.000,0.000,0.000,0.125
2029,1.000,0.600,1.000,0.844
2310,1.000,0.400,1.000,0.633
2356,1.000,0.200,1.000,1.000
2115,0.000,0.000,0.000,0.167
1993,1.000,1.000,1.000,1.000
2127,0.000,0.400,0.000,0.493
2039,0.000,0.200,0.000,0.500
2386,0.000,0.400,0.000,0.583
2170,0.000,0.000,0.000,0.000
2240,1.000,1.000,1.000,1.000
2329,0.000,0.200,0.000,0.500
2202,0.000,0.000,0.000,0.000
1959,0.000,0.200,0.000,0.500
2162,0.000,0.000,0.000,0.000
1926,0.000,0.200,0.000,0.333
2161,0.000,0.000,0.000,0.000
2044,1.000,1.000,1.000,1.000
2388,0.000,0.200,0.000,0.267
2033,0.000,0.400,0.000,0.395
2289,1.000,1.000,1.000,1.000
1919,0.000,0.000,0.000,0.000
2048,1.000,0.800,1.000,0.877
2068,0.000,0.000,0.000,0.000
2275,0.000,0.000,0.000,0.000
1967,1.000,0.600,1.000,0.811
2347,0.000,0.600,0.000,0.563
2252,0.000,0.200,0.000,0.200
2004,1.000,1.000,1.000,1.000
1977,0.000,0.000,0.000,0.000
1904,1.000,0.200,1.000,0.667
1920,1.000,0.600,1.000,1.000
2116,0.000,0.000,0.000,0.000
2285,1.000,0.600,1.000,1.000
1922,0.000,0.000,0.000,0.000
2098,0.000,0.200,0.000,0.200
1909,0.000,0.200,0.000,0.304
2124,0.000,0.000,0.000,0.000
2178,0.000,0.200,0.000,0.200
1960,0.000,0.000,0.000,0.000
1989,0.000,0.000,0.000,0.000
2193,1.000,1.000,1.000,1.000
2266,0.000,0.600,0.000,0.478
1899,1.000,1.000,1.000,1.000
2213,0.000,0.000,0.000,0.000
2384,0.000,0.200,0.000,0.321
2156,0.000,0.400,0.000,0.344
2022,1.000,0.800,1.000,0.900
1911,1.000,0.400,1.000,0.833
2238,0.000,0.000,0.000,0.000
1916,0.000,0.400,0.000,0.505
2110,0.000,0.000,0.000,0.111
2085,0.000,0.000,0.000,0.000
2212,0.000,0.000,0.000,0.000
2043,0.000,0.000,0.000,0.000
2295,1.000,0.400,1.000,0.833
2027,1.000,0.400,1.000,1.000
2246,1.000,0.600,1.000,0.917
2214,0.000,0.000,0.000,0.000
2205,0.000,0.200,0.000,0.292
2211,0.000,0.000,0.000,0.100
2159,0.000,0.000,0.000,0.000
2066,1.000,0.600,1.000,0.693
2359,1.000,1.000,1.000,0.929
2278,1.000,0.800,1.000,0.804
2328,0.000,0.000,0.000,0.156
2054,0.000,0.600,0.000,0.551
2012,0.000,0.000,0.000,0.125
1938,0.000,0.000,0.000,0.163
2245,0.000,0.000,0.000,0.000
1936,1.000,0.400,1.000,0.833
2050,0.000,0.600,0.000,0.639
1981,0.000,0.400,0.000,0.415
2129,0.000,0.600,0.000,0.668
2122,0.000,0.200,0.000,0.333
2261,1.000,0.400,1.000,0.705
1942,0.000,0.600,0.000,0.525
2076,0.000,0.000,0.000,0.222
2317,0.000,0.000,0.000,0.100
2210,0.000,0.400,0.000,0.524
2350,0.000,0.400,0.000,0.427
1931,0.000,0.200,0.000,0.500
2287,0.000,0.400,0.000,0.583
2316,1.000,0.400,1.000,0.647
2196,1.000,0.600,1.000,0.858
2089,0.000,0.600,0.000,0.609
2028,0.000,0.400,0.000,0.583
2061,1.000,0.400,1.000,0.778
1908,0.000,0.200,0.000,0.374
2102,1.000,0.400,1.000,0.768
2023,0.000,0.800,0.000,0.679
2194,0.000,0.000,0.000,0.000
1995,0.000,0.000,0.000,0.111
2052,1.000,0.400,1.000,0.716
2355,1.000,0.600,1.000,0.747
2351,0.000,0.400,0.000,0.500
2315,1.000,1.000,1.000,1.000
1954,0.000,0.000,0.000,0.167
2242,1.000,0.800,1.000,0.859
1956,0.000,0.800,0.000,0.679
2368,0.000,0.000,0.000,0.000
1986,0.000,0.200,0.000,0.296
2151,0.000,0.400,0.000,0.385
1985,0.000,0.600,0.000,0.608
2361,0.000,0.000,0.000,0.000
2364,0.000,0.200,0.000,0.258
1994,0.000,0.200,0.000,0.500
2293,1.000,0.600,1.000,0.876
2284,0.000,0.200,0.000,0.250
1903,1.000,0.400,1.000,0.732
1983,1.000,0.600,1.000,0.875
2365,0.000,0.000,0.000,0.000
1966,0.000,0.000,0.000,0.000
2154,0.000,0.000,0.000,0.143
2011,1.000,0.200,1.000,0.667
2198,0.000,0.400,0.000,0.526
2164,0.000,0.000,0.000,0.000
1934,0.000,0.200,0.000,0.333
2390,0.000,0.000,0.000,0.143
2152,0.000,0.200,0.000,0.427
2181,0.000,0.200,0.000,0.250
2167,0.000,0.000,0.000,0.000
1996,1.000,0.800,1.000,0.824
2166,0.000,0.000,0.000,0.000
2223,0.000,0.000,0.000,0.000
2045,0.000,0.600,0.000,0.533
2000,0.000,0.200,0.000,0.413
2280,1.000,1.000,1.000,0.933
2007,1.000,0.800,1.000,0.909
2206,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.000,0.000
2103,1.000,0.200,1.000,0.611
2140,0.000,0.600,0.000,0.469
2157,0.000,0.000,0.000,0.000
1950,0.000,0.200,0.000,0.339
2059,1.000,0.200,1.000,1.000
2192,0.000,0.200,0.000,0.371
2186,0.000,0.000,0.000,0.111
2080,0.000,0.000,0.000,0.199
2248,0.000,0.000,0.000,0.256
1952,0.000,0.000,0.000,0.000
2360,0.000,0.000,0.000,0.091
2269,0.000,0.000,0.000,0.167
1974,1.000,1.000,1.000,1.000
2268,1.000,0.200,1.000,0.565
2191,1.000,0.800,1.000,0.851
2228,0.000,0.200,0.000,0.389
2376,0.000,0.000,0.000,0.167
1965,0.000,0.000,0.000,0.000
2049,0.000,0.000,0.000,0.000
2055,0.000,0.000,0.000,0.000
2064,0.000,0.200,0.000,0.360
2035,1.000,0.600,1.000,0.876
2119,0.000,0.800,0.000,0.679
2134,0.000,0.200,0.000,0.500
1929,0.000,0.200,0.000,0.333
2189,0.000,0.000,0.000,0.000
2165,1.000,0.400,1.000,0.736
1999,0.000,0.000,0.000,0.000
2382,0.000,0.000,0.000,0.100
1944,0.000,0.200,0.000,0.236
1969,0.000,0.200,0.000,0.400
1906,0.000,0.200,0.000,0.200
2239,0.000,0.400,0.000,0.465
2343,0.000,0.000,0.000,0.000
2032,0.000,0.400,0.000,0.279
2155,0.000,0.000,0.000,0.226
2270,1.000,0.600,1.000,0.917
2220,0.000,0.000,0.000,0.000
2040,0.000,0.000,0.000,0.143
2142,0.000,0.000,0.000,0.000
2288,0.000,0.200,0.000,0.241
2232,1.000,0.600,1.000,1.000
2135,0.000,0.000,0.000,0.000
2017,1.000,0.800,1.000,1.000
2075,0.000,0.000,0.000,0.183
2092,0.000,0.600,0.000,0.525
2227,1.000,0.800,1.000,0.856
2262,0.000,0.000,0.000,0.000
2160,1.000,1.000,1.000,1.000
2074,1.000,0.800,1.000,0.786
2136,1.000,0.800,1.000,0.853
1932,1.000,0.400,1.000,0.833
2353,1.000,0.600,1.000,1.000
2219,0.000,0.200,0.000,0.224
2392,0.000,0.800,0.000,0.663
2070,0.000,0.000,0.000,0.111
2375,0.000,0.200,0.000,0.361
2111,0.000,0.000,0.000,0.167
1973,0.000,0.000,0.000,0.111
2079,0.000,0.000,0.000,0.000
2026,0.000,0.000,0.000,0.111
2294,0.000,0.400,0.000,0.437
2333,0.000,0.000,0.000,0.000
2254,0.000,0.200,0.000,0.333
2300,1.000,0.600,1.000,0.728
2016,0.000,0.600,0.000,0.525
2218,0.000,0.000,0.000,0.195
2377,0.000,0.200,0.000,0.216
2072,1.000,1.000,1.000,1.000
2073,0.000,0.600,0.000,0.568
2175,1.000,1.000,1.000,1.000
2188,0.000,0.400,0.000,0.433
2303,1.000,0.600,1.000,0.893
2071,1.000,0.600,1.000,0.756
2081,0.000,0.000,0.000,0.000
1937,0.000,0.000,0.000,0.000
2312,0.000,0.200,0.000,0.417
2272,0.000,0.200,0.000,0.417
2215,1.000,0.400,1.000,0.633
2121,0.000,0.200,0.000,0.250
2144,0.000,0.000,0.000,0.000
2340,1.000,0.800,1.000,0.927
2199,0.000,0.000,0.000,0.000
2021,0.000,0.600,0.000,0.557
